,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
Q1_1,0.14781615703232162,0.07474777175505774,0.7721798683211855,0.17798679577581225,0.20414115112966066,0.10652620576090403,0.00869359587693351
Q1_2,0.3509373027829931,0.07842608765252129,0.2623916500061397,0.26392005334918417,0.24641152772043862,0.2131768666328586,0.2821132030131013
Q1_3,0.24649441143634082,0.22561362110657185,0.21173394234032927,0.1817670094810248,0.6422305275544351,0.1264625632187507,-0.059396448699671596
Q1_4,0.6983317220865296,0.04513102835024961,0.12621346148698986,0.15414097649733308,0.25752672928075604,0.11019723225527253,-0.06776462036310905
Q1_5,0.06329041944547632,-0.009142498419201894,0.138808094295308,0.052087662384552647,0.06831230722628658,0.6717074454750647,-0.0333175556949596
Q1_6,0.2769050417790416,0.23162354445766384,0.5947239910039782,0.2158936996457666,0.14333418211698204,0.14285259684885723,0.04607171857234448
Q1_7,0.3365456629483746,0.2293384891150233,0.17971641046148618,0.11604572723890552,0.3039461454639739,0.23787752355090178,0.5726996513208619
Q1_8,0.27597606775703004,0.34162942078773056,0.2069181648839256,0.1824187303925284,0.554701447481237,0.16294717718591786,0.055149967144985095
Q1_9,0.5477299157184276,0.19008797461741112,0.3424565284833193,0.21753102234171082,0.20131436143589085,0.08457639822161798,0.08384885328573576
Q1_10,0.1371550090695135,0.20423012615475694,0.07263795066267514,0.18320631804982462,0.09421706770428631,0.6265655411353486,0.0443466648881751
Q1_11,0.2810258980899204,0.2435059834321677,0.6196401612977444,0.05080218318764084,0.029762459710636454,0.15976399491135887,0.07165322017856678
Q1_12,0.236320478199318,0.08382092919802021,0.15078805137760046,0.8439765837306252,0.10066411422041006,0.1519278248177761,0.08947359496097118
Q1_13,0.4002518128570805,0.38082932478100723,0.19327975684220355,0.20212442071909706,0.1479759998281782,0.13452837388260871,0.33709157835401166
Q1_14,0.6594297298441323,0.26486154869412887,0.17279460991537854,0.20505801893526526,0.019267241112197978,0.20512367878963036,0.06179427170021544
Q1_15,0.41370872638555095,0.4248861896076359,0.043925509910830524,0.2645860179254424,0.11063547691870167,0.2963191967262928,-0.17013188920692676
Q1_16,0.29478043814578736,0.29506427436875027,0.3428743635163521,0.1548688506092985,0.16440286616018582,0.06424705662134182,0.20413926929093118
Q1_17,0.15696050757764282,0.2684681944297046,0.12455857442049004,0.5477895426419432,0.15594987269604346,0.1275489958434091,0.06198528473263796
Q1_18,0.2318274666496052,0.5223851560788123,0.1784543622406946,0.17067835951592808,0.4370313853934741,0.11971335305792,0.16352003801664994
Q1_19,0.5052809825410625,0.34061247324626404,0.2767804007260232,0.17296634847510828,0.146900592854895,0.10591493063655853,-0.06381895366139621
Q1_20,0.2389299222766916,0.4482522435434181,0.08595868162356803,0.17551869941560777,0.3128019373893833,0.3218334036372255,-0.11208518728269783
Q1_21,0.3237537028480429,0.4231484752965635,0.2518850475415663,0.24706350066527255,0.15250558257493618,0.030603556866047547,0.20913935280843135
Q1_22,0.06703072703666575,0.35993670177265874,0.16923281693491396,0.35696252288403835,0.06687342398412616,-0.016682621827742355,0.06717310187764386
Q1_23,0.061901388931332936,0.5978040960934552,0.2253348463384196,0.24127098804985672,0.2708175181464451,0.05234990739638132,0.2447034841427888
Q1_24,0.4388403202082814,0.37920348729619885,0.23353448505097366,0.08487960329523934,0.16652623373131406,0.03663846291179185,0.10990532200017752
Q1_25,0.22408090865322103,0.3177084851193415,0.14752037889411418,0.12993999165469544,0.08820398341267309,0.2897988165815064,0.025395599612553305
Q1_26,0.25689019756136927,0.4554845375491506,0.3402471107202543,0.11884566497483523,0.09115822886803486,0.1267204842217391,0.0004129317197444047
Q1_27,0.15740431833263202,0.2874326536310603,0.13257504195793932,0.6439706057442445,0.1337389519816453,0.1845602145848138,0.22929383723802937
Q1_28,0.18937739324778047,0.4106390550844183,0.05486638359663266,0.12366253192866965,0.06831040138086095,0.07633623797071613,0.06270628762138941
Q1_29,0.5016138007189694,0.3052247977306283,0.2864492132925727,0.03225576116603858,0.10831234313618478,0.05742905509259212,0.021769142445715036
Q1_30,-0.048799987723119824,0.018030190488936938,-0.0071951151292496355,0.052338674907625636,-0.04404345890017678,-0.048991007188977406,0.28121635676263546
